Opportunity #,Account Name,Opportunity Name,Created Date,Close Date,Total Contract Value (converted),Probability (%)
OPP-1053,Account 13,Deal 53,11/03/2025,14/06/2025,12515.78,57.4
OPP-1054,Account 14,Deal 54,02/05/2025,29/07/2025,13184.2,71.0
OPP-1055,Account 15,Deal 55,18/05/2025,26/08/2025,16276.82,35.5
OPP-1056,Account 16,Deal 56,04/05/2025,21/08/2025,26248.41,48.8
OPP-1057,Account 17,Deal 57,05/04/2025,05/07/2025,19473.56,79.5
OPP-1058,Account 18,Deal 58,08/03/2025,19/06/2025,25051.08,59.8
OPP-1059,Account 19,Deal 59,19/03/2025,14/04/2025,26318.93,26.2
OPP-1060,Account 0,Deal 60,09/02/2025,31/05/2025,18411.59,12.3
OPP-1061,Account 1,Deal 61,16/03/2025,04/07/2025,21501.88,5.9
OPP-1062,Account 2,Deal 62,26/02/2025,24/05/2025,24933.2,29.0
OPP-1063,Account 3,Deal 63,07/02/2025,17/05/2025,20944.22,8.9
OPP-1064,Account 4,Deal 64,29/05/2025,29/08/2025,29795.5,44.8
OPP-1065,Account 5,Deal 65,02/01/2025,19/04/2025,67678.61,26.3
OPP-1066,Account 6,Deal 66,15/01/2025,03/05/2025,31419.48,23.2
OPP-1067,Account 7,Deal 67,29/01/2025,08/04/2025,22776.54,9.4
OPP-1068,Account 8,Deal 68,26/05/2025,03/09/2025,10000.0,48.7
OPP-1069,Account 9,Deal 69,14/04/2025,03/08/2025,27799.53,42.5
OPP-1070,Account 10,Deal 70,13/05/2025,28/06/2025,10000.0,56.9
OPP-1071,Account 11,Deal 71,31/01/2025,19/02/2025,10000.0,53.7
OPP-1072,Account 12,Deal 72,19/04/2025,21/05/2025,36782.72,35.2
OPP-1073,Account 13,Deal 73,25/02/2025,15/03/2025,33649.08,54.3
OPP-1074,Account 14,Deal 74,15/03/2025,14/05/2025,20131.41,47.4
OPP-1075,Account 15,Deal 75,01/01/2025,18/01/2025,10000.0,32.4
OPP-1076,Account 16,Deal 76,03/04/2025,15/05/2025,17627.07,49.8
OPP-1077,Account 17,Deal 77,05/05/2025,15/06/2025,14658.23,15.6
OPP-1078,Account 18,Deal 78,10/04/2025,08/07/2025,32276.81,37.9
OPP-1079,Account 19,Deal 79,24/01/2025,06/03/2025,85360.46,47.4
OPP-1080,Account 0,Deal 80,22/03/2025,14/07/2025,25088.34,51.7
OPP-1081,Account 1,Deal 81,10/02/2025,16/03/2025,13799.85,67.0
OPP-1082,Account 2,Deal 82,25/05/2025,19/09/2025,10912.55,29.1
OPP-1083,Account 3,Deal 83,13/05/2025,26/07/2025,21297.47,75.0
OPP-1084,Account 4,Deal 84,28/01/2025,09/03/2025,19809.64,42.1
OPP-1085,Account 5,Deal 85,18/03/2025,06/04/2025,11037.88,52.4
OPP-1086,Account 6,Deal 86,21/05/2025,07/07/2025,23619.15,27.0
OPP-1087,Account 7,Deal 87,08/05/2025,23/07/2025,11041.89,29.0
OPP-1088,Account 8,Deal 88,17/04/2025,13/05/2025,42927.35,27.9
OPP-1089,Account 9,Deal 89,06/04/2025,08/05/2025,41672.24,31.0
OPP-1090,Account 10,Deal 90,07/01/2025,03/02/2025,42228.51,29.6
OPP-1091,Account 11,Deal 91,22/04/2025,17/07/2025,16573.66,39.8
OPP-1092,Account 12,Deal 92,13/03/2025,06/04/2025,29992.79,47.8
OPP-1093,Account 13,Deal 93,14/01/2025,31/01/2025,20348.41,8.4
OPP-1094,Account 14,Deal 94,06/02/2025,09/04/2025,17443.33,29.5
OPP-1095,Account 15,Deal 95,23/03/2025,09/05/2025,17970.96,22.1
OPP-1096,Account 16,Deal 96,20/04/2025,03/07/2025,10098.79,37.6
OPP-1097,Account 17,Deal 97,18/03/2025,09/07/2025,10000.0,31.3
OPP-1098,Account 18,Deal 98,02/04/2025,16/07/2025,35475.19,34.4
OPP-1099,Account 19,Deal 99,11/05/2025,21/07/2025,19638.73,26.7
OPP-1100,Account 0,Deal 100,13/04/2025,04/07/2025,25080.73,19.5
OPP-1101,Account 1,Deal 101,24/02/2025,04/06/2025,40176.05,46.5
OPP-1102,Account 2,Deal 102,07/04/2025,06/06/2025,10000.0,21.6
OPP-1103,Account 3,Deal 103,31/03/2025,23/06/2025,13760.01,72.1
OPP-1104,Account 4,Deal 104,17/01/2025,23/02/2025,24469.94,7.3
OPP-1105,Account 5,Deal 105,09/01/2025,29/03/2025,27868.63,59.7
OPP-1106,Account 6,Deal 106,10/04/2025,19/05/2025,17566.61,31.5
OPP-1107,Account 7,Deal 107,28/02/2025,04/04/2025,40843.69,39.2
OPP-1108,Account 8,Deal 108,31/03/2025,03/07/2025,24990.15,25.8
OPP-1109,Account 9,Deal 109,18/02/2025,04/05/2025,10635.69,58.5
OPP-1110,Account 10,Deal 110,03/02/2025,29/03/2025,12601.13,34.5
OPP-1111,Account 11,Deal 111,23/01/2025,11/02/2025,35713.45,4.2
OPP-1112,Account 12,Deal 112,27/02/2025,07/04/2025,29094.34,45.9
OPP-1113,Account 13,Deal 113,03/05/2025,10/08/2025,10000.0,85.4
OPP-1114,Account 14,Deal 114,02/03/2025,05/05/2025,49445.55,43.8
OPP-1115,Account 15,Deal 115,26/02/2025,21/06/2025,31533.83,59.5
OPP-1116,Account 16,Deal 116,28/03/2025,15/07/2025,49316.1,45.5
OPP-1117,Account 17,Deal 117,27/05/2025,08/09/2025,17496.91,12.2
OPP-1118,Account 18,Deal 118,28/02/2025,16/03/2025,18445.51,10.3
OPP-1119,Account 19,Deal 119,30/03/2025,19/04/2025,11205.12,46.8
OPP-1120,Account 0,Deal 120,07/03/2025,21/05/2025,100927.5,31.3
OPP-1121,Account 1,Deal 121,01/04/2025,21/05/2025,19825.56,74.7
OPP-1122,Account 2,Deal 122,08/03/2025,19/06/2025,57097.75,22.9
OPP-1123,Account 3,Deal 123,06/04/2025,24/05/2025,14937.42,22.8
OPP-1124,Account 4,Deal 124,24/03/2025,24/04/2025,24301.78,4.2
OPP-1125,Account 5,Deal 125,12/04/2025,08/05/2025,10000.0,19.2
OPP-1126,Account 6,Deal 126,24/05/2025,09/07/2025,17505.66,25.7
OPP-1127,Account 7,Deal 127,23/01/2025,13/04/2025,39745.54,31.0
OPP-1128,Account 8,Deal 128,26/03/2025,23/04/2025,10393.69,30.4
OPP-1129,Account 9,Deal 129,08/03/2025,14/06/2025,41912.38,46.8
OPP-1130,Account 10,Deal 130,23/02/2025,10/04/2025,26966.29,34.1
OPP-1131,Account 11,Deal 131,05/02/2025,24/03/2025,11773.77,33.9
OPP-1132,Account 12,Deal 132,08/01/2025,02/04/2025,16301.98,36.3
OPP-1133,Account 13,Deal 133,02/03/2025,15/06/2025,16723.34,25.5
OPP-1134,Account 14,Deal 134,04/05/2025,03/07/2025,21381.65,62.3
OPP-1135,Account 15,Deal 135,15/01/2025,23/04/2025,15967.55,52.4
OPP-1136,Account 16,Deal 136,02/03/2025,18/04/2025,13408.27,71.5
OPP-1137,Account 17,Deal 137,26/05/2025,23/06/2025,18347.48,66.9
OPP-1138,Account 18,Deal 138,23/05/2025,01/09/2025,11894.91,20.3
OPP-1139,Account 19,Deal 139,02/02/2025,08/05/2025,10160.71,24.7
OPP-1140,Account 0,Deal 140,02/01/2025,05/04/2025,21398.89,69.0
OPP-1141,Account 1,Deal 141,11/04/2025,27/07/2025,37411.17,21.1
OPP-1142,Account 2,Deal 142,03/01/2025,11/03/2025,10000.0,25.6
OPP-1143,Account 3,Deal 143,15/02/2025,22/03/2025,22072.88,53.3
OPP-1144,Account 4,Deal 144,16/03/2025,31/05/2025,14913.56,4.3
OPP-1145,Account 5,Deal 145,12/05/2025,26/07/2025,12255.29,23.7
OPP-1146,Account 6,Deal 146,14/01/2025,10/03/2025,36756.21,13.2
OPP-1147,Account 7,Deal 147,10/04/2025,01/07/2025,16140.68,30.9
OPP-1148,Account 8,Deal 148,21/03/2025,02/05/2025,54121.19,38.8
OPP-1149,Account 9,Deal 149,20/01/2025,08/04/2025,13795.48,25.9
OPP-1150,Account 10,Deal 150,07/05/2025,13/08/2025,27775.27,48.1
OPP-1151,Account 11,Deal 151,07/05/2025,01/06/2025,19218.53,41.3
OPP-1152,Account 12,Deal 152,14/03/2025,15/05/2025,14010.84,55.0
OPP-1153,Account 13,Deal 153,22/05/2025,14/08/2025,31338.57,26.1
OPP-1154,Account 14,Deal 154,02/04/2025,22/04/2025,20070.58,85.1
OPP-1155,Account 15,Deal 155,16/05/2025,05/08/2025,31632.06,6.9
OPP-1156,Account 16,Deal 156,25/05/2025,12/09/2025,21410.25,6.6
OPP-1157,Account 17,Deal 157,27/03/2025,06/07/2025,11481.71,22.9
OPP-1158,Account 18,Deal 158,12/02/2025,09/05/2025,20718.01,42.0
OPP-1159,Account 19,Deal 159,22/01/2025,01/05/2025,22723.91,52.1
OPP-1160,Account 0,Deal 160,26/03/2025,17/05/2025,39146.95,36.5
OPP-1161,Account 1,Deal 161,29/01/2025,19/03/2025,12787.69,58.6
OPP-1162,Account 2,Deal 162,23/04/2025,16/05/2025,21512.77,91.3
OPP-1163,Account 3,Deal 163,20/05/2025,18/08/2025,10000.0,27.6
OPP-1164,Account 4,Deal 164,06/02/2025,26/03/2025,32561.82,12.9
OPP-1165,Account 5,Deal 165,24/03/2025,08/07/2025,11511.6,13.4
OPP-1166,Account 6,Deal 166,08/01/2025,12/03/2025,10000.0,67.1
OPP-1167,Account 7,Deal 167,28/01/2025,16/05/2025,21257.6,47.0
OPP-1168,Account 8,Deal 168,26/02/2025,27/03/2025,42762.25,60.5
OPP-1169,Account 9,Deal 169,13/05/2025,13/06/2025,10000.0,25.5
OPP-1170,Account 10,Deal 170,26/05/2025,16/07/2025,11466.43,53.1
OPP-1171,Account 11,Deal 171,07/04/2025,24/04/2025,14101.48,42.6
OPP-1172,Account 12,Deal 172,29/03/2025,03/06/2025,11184.7,83.3
OPP-1173,Account 13,Deal 173,27/03/2025,18/06/2025,27657.62,21.5
OPP-1174,Account 14,Deal 174,10/01/2025,04/04/2025,13569.49,35.3
OPP-1175,Account 15,Deal 175,26/02/2025,04/04/2025,14286.8,32.4
OPP-1176,Account 16,Deal 176,28/05/2025,29/06/2025,31256.52,68.7
OPP-1177,Account 17,Deal 177,03/03/2025,16/05/2025,13998.3,14.9
OPP-1178,Account 18,Deal 178,01/02/2025,23/04/2025,28557.31,36.9
OPP-1179,Account 19,Deal 179,05/02/2025,30/05/2025,12297.72,90.3
OPP-1180,Account 0,Deal 180,18/04/2025,05/08/2025,10643.63,38.3
OPP-1181,Account 1,Deal 181,06/01/2025,01/03/2025,10000.0,5.9
OPP-1182,Account 2,Deal 182,26/05/2025,26/06/2025,67286.96,24.2
OPP-1183,Account 3,Deal 183,12/05/2025,22/06/2025,18175.77,43.2
OPP-1184,Account 4,Deal 184,27/03/2025,12/07/2025,25498.12,63.4
OPP-1185,Account 5,Deal 185,12/03/2025,13/05/2025,21619.92,48.0
OPP-1186,Account 6,Deal 186,25/04/2025,22/08/2025,24245.28,22.9
OPP-1187,Account 7,Deal 187,24/03/2025,16/06/2025,22693.0,39.2
OPP-1188,Account 8,Deal 188,13/03/2025,29/05/2025,69212.05,71.6
OPP-1189,Account 9,Deal 189,18/02/2025,15/03/2025,11809.32,59.2
OPP-1190,Account 10,Deal 190,09/03/2025,25/05/2025,10000.0,54.9
OPP-1191,Account 11,Deal 191,23/04/2025,16/06/2025,12001.95,60.6
OPP-1192,Account 12,Deal 192,09/01/2025,22/04/2025,10000.0,39.8
OPP-1193,Account 13,Deal 193,04/01/2025,02/02/2025,34481.47,7.1
OPP-1194,Account 14,Deal 194,19/04/2025,24/05/2025,36034.31,3.5
OPP-1195,Account 15,Deal 195,25/02/2025,20/05/2025,12372.24,10.1
OPP-1196,Account 16,Deal 196,01/05/2025,26/07/2025,10000.0,56.7
OPP-1197,Account 17,Deal 197,05/01/2025,17/04/2025,17803.0,89.6
OPP-1198,Account 18,Deal 198,17/05/2025,26/07/2025,50750.38,65.7
OPP-1199,Account 19,Deal 199,19/01/2025,14/03/2025,10000.0,64.0
OPP-1200,Account 0,Deal 200,04/03/2025,20/04/2025,30211.44,66.1
OPP-1201,Account 1,Deal 201,26/05/2025,19/07/2025,11551.23,21.6
OPP-1202,Account 2,Deal 202,17/01/2025,11/04/2025,41118.78,43.4
OPP-1203,Account 3,Deal 203,09/04/2025,19/06/2025,11536.21,53.3
OPP-1204,Account 4,Deal 204,20/04/2025,05/06/2025,18559.75,7.0
OPP-1205,Account 5,Deal 205,06/03/2025,12/04/2025,10000.0,62.3
OPP-1206,Account 6,Deal 206,12/01/2025,11/04/2025,12254.46,55.1
OPP-1207,Account 7,Deal 207,20/03/2025,29/04/2025,50589.71,39.6
OPP-1208,Account 8,Deal 208,07/03/2025,12/04/2025,36038.65,52.9
OPP-1209,Account 9,Deal 209,11/05/2025,29/06/2025,17309.3,23.1
OPP-1210,Account 10,Deal 210,13/04/2025,26/07/2025,13067.67,17.0
OPP-1211,Account 11,Deal 211,21/02/2025,25/04/2025,10000.0,16.8
OPP-1212,Account 12,Deal 212,09/01/2025,27/03/2025,17392.7,34.1
OPP-1213,Account 13,Deal 213,30/03/2025,22/04/2025,21621.82,41.9
OPP-1214,Account 14,Deal 214,11/02/2025,03/04/2025,20943.16,40.0
OPP-1215,Account 15,Deal 215,13/04/2025,16/07/2025,20821.16,23.4
OPP-1216,Account 16,Deal 216,10/05/2025,14/08/2025,11236.4,51.6
OPP-1217,Account 17,Deal 217,23/02/2025,09/05/2025,21167.78,3.8
OPP-1218,Account 18,Deal 218,16/05/2025,31/08/2025,21521.25,65.4
OPP-1219,Account 19,Deal 219,19/03/2025,04/05/2025,47778.8,21.0
OPP-1220,Account 0,Deal 220,21/03/2025,22/04/2025,67510.61,24.6
OPP-1221,Account 1,Deal 221,25/04/2025,18/05/2025,20288.44,44.0
OPP-1222,Account 2,Deal 222,29/04/2025,03/06/2025,13907.96,50.2
OPP-1223,Account 3,Deal 223,17/05/2025,20/08/2025,21184.2,22.8
OPP-1224,Account 4,Deal 224,30/05/2025,16/09/2025,15297.23,18.3
OPP-1225,Account 5,Deal 225,23/01/2025,20/02/2025,14108.6,46.8
OPP-1226,Account 6,Deal 226,03/03/2025,09/05/2025,21264.83,71.1
OPP-1227,Account 7,Deal 227,21/05/2025,18/06/2025,11778.34,54.6
OPP-1228,Account 8,Deal 228,16/02/2025,30/05/2025,31687.07,39.2
OPP-1229,Account 9,Deal 229,01/01/2025,29/01/2025,20695.07,25.1
OPP-1230,Account 10,Deal 230,28/03/2025,18/06/2025,25591.23,7.4
OPP-1231,Account 11,Deal 231,23/04/2025,16/05/2025,19736.72,25.1
OPP-1232,Account 12,Deal 232,22/04/2025,23/07/2025,14237.68,2.5
OPP-1233,Account 13,Deal 233,02/05/2025,20/08/2025,12471.79,57.5
OPP-1234,Account 14,Deal 234,07/04/2025,07/07/2025,19103.64,8.3
OPP-1235,Account 15,Deal 235,21/01/2025,05/03/2025,15847.13,37.1
OPP-1236,Account 16,Deal 236,08/05/2025,19/08/2025,25345.1,40.6
OPP-1237,Account 17,Deal 237,04/03/2025,20/04/2025,21967.97,36.6
OPP-1238,Account 18,Deal 238,08/05/2025,10/08/2025,10000.0,48.9
OPP-1239,Account 19,Deal 239,03/05/2025,13/08/2025,22931.64,41.6
OPP-1240,Account 0,Deal 240,26/05/2025,30/07/2025,10000.0,12.4
OPP-1241,Account 1,Deal 241,03/01/2025,24/03/2025,15216.16,40.2
OPP-1242,Account 2,Deal 242,10/05/2025,22/08/2025,18460.49,45.0
OPP-1243,Account 3,Deal 243,05/04/2025,09/05/2025,10000.0,22.2
OPP-1244,Account 4,Deal 244,14/03/2025,31/03/2025,23269.63,56.0
OPP-1245,Account 5,Deal 245,29/04/2025,28/06/2025,24115.02,47.0
OPP-1246,Account 6,Deal 246,23/05/2025,26/06/2025,20033.99,25.0
OPP-1247,Account 7,Deal 247,18/03/2025,03/07/2025,17075.67,26.6
OPP-1248,Account 8,Deal 248,14/01/2025,30/04/2025,17603.23,76.6
OPP-1249,Account 9,Deal 249,19/04/2025,12/06/2025,12259.74,63.8
OPP-1250,Account 10,Deal 250,04/02/2025,23/03/2025,18735.58,57.8
OPP-1251,Account 11,Deal 251,03/02/2025,03/05/2025,15810.55,8.6
OPP-1252,Account 12,Deal 252,29/01/2025,01/04/2025,23272.12,34.2
OPP-1253,Account 13,Deal 253,30/01/2025,24/02/2025,10694.86,82.7
OPP-1254,Account 14,Deal 254,17/05/2025,09/08/2025,25370.79,30.8
OPP-1255,Account 15,Deal 255,24/02/2025,26/05/2025,24002.93,42.2
OPP-1256,Account 16,Deal 256,16/01/2025,07/02/2025,20232.84,11.9
OPP-1257,Account 17,Deal 257,27/01/2025,03/05/2025,16923.82,40.0
OPP-1258,Account 18,Deal 258,01/03/2025,11/05/2025,30681.16,57.4
OPP-1259,Account 19,Deal 259,21/02/2025,02/06/2025,10000.0,54.7
OPP-1260,Account 0,Deal 260,16/02/2025,31/05/2025,29035.43,9.1
OPP-1261,Account 1,Deal 261,23/05/2025,16/08/2025,25484.42,30.8
OPP-1262,Account 2,Deal 262,10/05/2025,29/06/2025,26108.75,38.8
OPP-1263,Account 3,Deal 263,27/03/2025,19/05/2025,27722.17,68.7
OPP-1264,Account 4,Deal 264,28/05/2025,27/08/2025,14880.6,77.1
OPP-1265,Account 5,Deal 265,21/02/2025,14/03/2025,18851.05,34.9
OPP-1266,Account 6,Deal 266,21/01/2025,01/03/2025,32281.03,61.4
OPP-1267,Account 7,Deal 267,10/02/2025,20/04/2025,28520.65,50.4
OPP-1268,Account 8,Deal 268,14/01/2025,07/05/2025,24935.0,55.3
OPP-1269,Account 9,Deal 269,23/05/2025,25/08/2025,10000.0,42.0
OPP-1270,Account 10,Deal 270,02/02/2025,13/05/2025,30416.25,12.1
OPP-1271,Account 11,Deal 271,08/03/2025,12/04/2025,44430.55,69.4
OPP-1272,Account 12,Deal 272,31/01/2025,16/03/2025,40368.41,17.1
OPP-1273,Account 13,Deal 273,28/05/2025,09/07/2025,25344.75,14.5
OPP-1274,Account 14,Deal 274,24/01/2025,27/04/2025,10000.0,61.5
OPP-1275,Account 15,Deal 275,19/03/2025,29/05/2025,38774.84,30.7
OPP-1276,Account 16,Deal 276,23/05/2025,29/06/2025,20163.86,15.2
OPP-1277,Account 17,Deal 277,20/03/2025,21/06/2025,10000.0,39.6
OPP-1278,Account 18,Deal 278,15/05/2025,05/08/2025,27620.8,34.4
OPP-1279,Account 19,Deal 279,15/05/2025,01/09/2025,10000.0,15.1
OPP-1280,Account 0,Deal 280,26/04/2025,08/07/2025,10118.65,45.8
OPP-1281,Account 1,Deal 281,22/04/2025,20/05/2025,15048.37,48.9
OPP-1282,Account 2,Deal 282,28/03/2025,14/07/2025,47266.39,5.3
OPP-1283,Account 3,Deal 283,29/03/2025,02/05/2025,17632.39,9.5
OPP-1284,Account 4,Deal 284,05/05/2025,25/05/2025,25915.46,8.2
OPP-1285,Account 5,Deal 285,05/03/2025,11/06/2025,62867.26,40.8
OPP-1286,Account 6,Deal 286,22/05/2025,23/07/2025,57320.74,87.4
OPP-1287,Account 7,Deal 287,12/05/2025,02/08/2025,20702.05,41.3
OPP-1288,Account 8,Deal 288,26/02/2025,26/03/2025,19055.05,60.4
OPP-1289,Account 9,Deal 289,03/03/2025,01/06/2025,10336.92,25.2
OPP-1290,Account 10,Deal 290,18/04/2025,14/06/2025,14520.62,45.2
OPP-1291,Account 11,Deal 291,19/05/2025,15/09/2025,28430.42,53.1
OPP-1292,Account 12,Deal 292,15/01/2025,06/04/2025,27929.49,73.0
OPP-1293,Account 13,Deal 293,11/01/2025,04/05/2025,23532.62,23.4
OPP-1294,Account 14,Deal 294,07/02/2025,16/05/2025,40009.85,44.9
OPP-1295,Account 15,Deal 295,06/03/2025,17/06/2025,13857.46,55.5
OPP-1296,Account 16,Deal 296,25/01/2025,18/02/2025,21297.69,87.2
OPP-1297,Account 17,Deal 297,19/03/2025,23/06/2025,34157.78,47.9
OPP-1298,Account 18,Deal 298,23/03/2025,09/06/2025,31272.29,14.8
OPP-1299,Account 19,Deal 299,23/05/2025,18/07/2025,41880.16,69.0
